id_ligne	annee	user	Objectif	INDICATEUR DE MESURE	ECHEANCE
0	2024	6	PLUS DE FLEXIBILITE  ET TRAVAILLER SUR SOI POUR UN OBJECTIF "ORIENTATION CLIENT"		
0	2024	8	PRE-RECEPTION SAV T2 OP		T1 2024
1	2024	8	PRE-RECEPTION SAV T3 OP		T2 2024
0	2024	9	SOLDER TOUS LES DOSSIERS RESTANTS SUR KPC/ZENATA/BELAIR/MNO	ATTEINDRE UN TAUX DE 100%	T3/2024
1	2024	9	METTRE EN PLACE UNE STRATEGIE PROACTIVE DE RECOUVREMENT POUR LES PROCHAINS DOSSIERS OCEAN PARK TR1 ET TR2 ET TR3		45657
2	2024	9	REALISER UN CHIFFRE D'AFFAIRE IMPORTANT		
0	2024	10	1er niveau d'analyse des comptes sur SAP	Livrable	45473
1	2024	10	Etre à jour en ce qui concerne la saisie et la clôture sur SAP pour les années précedentes et à venir	Livrable	45413
2	2024	10	Respecter les délais imposés par les arrêtés mensuels sur SAP	Livrable	Echencier repporting
3	2024	10	Autonomie à la Préparation des bilans	Livrable	45488
4	2024	10	Respectez les delais imposés pour la communication des situations suivi des réglements	Livrable	hebdomadaire
0	2024	11	VENDRE MAGASINS PARC PLAZA		45657
1	2024	11	VENDRE MAGASINS CHAMPS DE LYS		45657
2	2024	11	LANCER DES COMPAGNES MARKETING AUPRES DU SERVICE MARKETING (PARC PLAZA-CHAMPS DE LYS)		45412
3	2024	11	FINALISER LES TRAVAUX RESTANTS MNO		45412
4	2024	11	EXPLOITER LES BIENS VACANTS		45657
5	2024	11	ACCOMPAGNER L'ECOLE (SMQ - ACHATS)		45657
0	2024	12	Prise d'initiative et être force de proposition		T4 - 2024
1	2024	12	Améliorer la qualité des livrables et s'orienter vers les tendances du domaine		T4 - 2024
2	2024	12	Commencer a faire des montages vidéos & Gifs		T4 - 2024
3	2024	12	Respect des briefs		T4 - 2024
4	2024	12	Livraison des livrables dans les délais à 90%		T4 - 2024
0	2024	13	Execution du plan de formation		T4 - 2024
1	2024	13	Intranet RH		T4 - 2024
2	2024	13	QVT		T4 - 2024
3	2024	13	Communication Interne		T4 - 2024
0	2024	14	LIQUIDATION PARTIE COLIVING (WE LIVE) 	BUDGET / CA	45566
1	2024	14	LIQUIDATION PARTIE CONVENTIONNE (WE LIVE) 	BUDGET / CA	45566
0	2024	15	WELIVE : SUIVI DES CONTRATS NON SIGNES / TRAITER DOSSIERS INCOMPLETS / RECOUVREMENT DES RELIQUATS DES AVANCES		45413
1	2024	15	RECOUVREMENT DES ECHEANCES RESTANTES (CPV/TRAVAUX/PRDC)		T1 - 2024
2	2024	15	RECOUVREMENT DES ECHEANCES RELATIVES A L'ACHEVEMENT DES TRAVAUX GO		T2 - 2024
3	2024	15	SUIVI DES DEMANDES DE CAUTIONNEMENT RELATIVES AUX AVANCES CONSIGNEES CHEZ LES NOTAIRES.		avr.-24
4	2024	15	PREPARATION DE LA LIVRAISON UPTOWN		T4 - 2024
0	2024	16	Liquidation We LIVE ( Box et Place de Parking incluse )		45566
1	2024	16	Livraison et suivi UPTOWN 		45566
0	2024	17	LIVRAISON TF T3 ZOP		
1	2024	17	LIVRAISON TF UPTOWN RESIDENTIEL ET BUREAUX		
0	2024	18	DIGITALISATION DES PROCESSUS		45657
1	2024	18	ARRETE MENSUEL		45535
2	2024	18	ORGANISATION ET OPTIMISATION DES FRAIS GENERAUX		45657
